question,answer_text,answer_aliases
What is the name given to the official residence provided for the Olympic athletes?,Paralympic Village,athletes village|paralympic village|olympic village
"Which organization claims to have the world's largest collection of public records, unpublished opinions, forms, legal, news, and business information?",Matthew Bender,concordance computer software|lexusnexus|matthew bender|mead data central|lexus nexus|data central|lexis com|lexis nexis|concordance database|lexis|matthew bender co|lexisweb|matthew bender company|lexisnexis academic|seisint|lexisnexis news|state net|lexisnexis examen|nexus lexus|lexus nexis|lexis library|nexis|sheshunoff information services|concordance software|nexis com|lexis nexus|lexisnexis|nexislexis|lexisnexis matthew bender|Matthew Bender & Co.|Concordance (software)|Matthew Bender & Company|Lexis/Nexis|Nexis.com|Concordance (computer software)|Lexus-Nexus|Lexis.com|Lexis-nexis|Lexis-Nexus
What colour is the cross on the national flag of Switzerland?,White (Colour),"color white|white political adjective|whitishness|rgb 255 255 255|255 255 255|ffffff|whitishly|white colour|man on white horse|white|whiter|white finn|whitest|White (Colour)|Rgb(255, 255, 255)|(255, 255, 255)|White (political adjective)|White-|White-Finn|Color/white|Man on a white horse"
What was the first top ten entry for Ce Ce Peniston (1992),We Got a Love Thang,we got love thang cece peniston song|we got love thang|We Got a Love Thang|We Got A Love Thang (CeCe Peniston song)
Involvement with which corrupt architect led to the resignation of Home Secretary Reginald Maudling in July 1972?,Poulson affair,john gerhard llewellyn poulson|john poulson|poulson affair|william pottinger|john garlick llewellyn poulson
In which European city is the Belvederen Gallery?,Capital of Austria,"vinarborg|wien austria|vindobonensis|vienna porcelain|vienna state|habsburg austria|vindabona|city of vienna|gemeinderat of vienna|bécs|wienna|architecture of vienna|wien|demographics of vienna|vienna austria|vínarborg|vienna at 9|capital of austria|wene|government of vienna|un locode atvie|europe vienna|viena|vienna|Vienna (state)|Vienna, AT-9|Habsburg, Austria|UN/LOCODE:ATVIE|Vienna (Austria)|Europe/Vienna|Wien, Austria|Vienna, Austria"
"Graca Machel, the widow of a President of Mozambique, is the wife of which famous man?",Nelson Mendella,nelson mandela|tata madiba|nelson rolihlahla mandela|4664|mandella|nelson mendela|zindzi mandela|nelson mandella|rolihlahla mandela|madiba|nelson mendella|mr mandela|gadla henry mphakanyiswa|rolihlahla|black pimpernel|mandela|nelson madela|nelson mandeal|tata mandela
Aberdeen is known as what?,The granite city,granite city|granite city disambiguation|The granite city|Granite City (disambiguation)
Which shocking fish is also known as a torpedo?,Torpediniformes,torpedo fish|torpedo zoology|electric rays|torpedofish|electric ray|torpedo ray|torpediniformes|Torpedo (fish)|Torpedo (zoology)
What name is given to a baby marsupial?,Joey (disambiguation),joey disambiguation|joey film|joey|joey song|Joey (disambiguation)|Joey (song)|Joey (film)
What period film of Stanley Kubrick that recounts the exploits of an 18th century Irish adventurer is loosely based on a novel of William Makepeace Thackeray?,Barry Lyndon (film),barry lyndon film|barry lynd|barry lyndon|Barry Lyndon (film)
"""'The Doors' generated a controversy with the single """"Hello, I Love You"""" in 1968 when the press pointed out it's resemblance to the 1965 hit """"All Day and All of the Night"""" of which band?""",The Kinks,"kinks band|gordon john edwards|john gosling kinks musician|ray davies quartet|kinks|The Kinks|John Gosling (The Kinks musician)|The Ray Davies Quartet|The Kinks (band)|Kinks, The"
The name of which chemical element of the Periodic Table ends with the letters KEL ?,Nickel metallurgy,nickel|nickelic|nickel mining in bc|nickelous|element 28|nickel metallurgy|kupfernickel|nickel element|ni2|Nickel (element)|Ni2+
In which county will you find Fountains abbey and Studley Water Gardens?,Wrench Green,"north yorkshire|wrench green|north yorkshire england|North Yorkshire, England"
What nationality was the astronomer Copernicus ?,Polishedly,polishedly|polisher|polishes|polish disambiguation|polishers|polski|polish|polishingly|Polish (disambiguation)
Darwin is the capital of which Australian state ?,Northern Territory,"north territory|northern territory of australia|northernterritory|northern territories australia|northern territory australia|south australia northern territory|northern territory|northern territorian|au nt|local government in northern territory|The Northern Territory|AU-NT|Northern Territory, Australia|South Australia (Northern Territory)|Local government in the Northern Territory|Northern Territories, Australia"
The 19th century invention Paige Compositor sought to replace the typewriter but ended up becoming a failure. Which American author lost nearly all his fortune for its development?,Mark Twain,"twain mark|samuel longhorn clemens|samuel l clemens|samuel langhorne clemens|sl clemens|reports of my death are greatly exaggerated|sam clemens|samuel langhorn clemens|soleather|twainesque|mark twain|sam langhorne clemens|marc twain|samuel longhorne clemens|samual clemens|sergeant fathom|samuel clemens|twainian|w epaminondas adrastus blab|samuel clements|thomas jefferson snodgrass|Twain, Mark|Samuel L. Clemens|W. Epaminondas Adrastus Blab"
What product invented by Frederick Walton in 1864 became so widely used and 'stepped on' that the name became generic just 14 years after its invention?,Lynolium,lynolium|linoleum|linolium|marmoleum
What is the scientific name given to tea?,Camelia sinensis,camellia waldenae|tea shrub|camellia sinensis|camelia sinensis|thea viridis|camellia sinensis sinensis|thea bohea|camellia assamica|camelia sinesis|camellias sinensis var assamica|thea sinensis|tea plant|Camellias sinensis var. assamica
Who did June Carter marry?,Vivian Cash,"johnny cash family|johnny cash lists|jonny cash|johny cash|j cash|vivian liberto|j r cash|american series|johnny cash band|jr cash|johnny r cash|chicken in black|johnny cash biography|johnny cash songs|johnny cash – biography|cash john|johnny cash discography|cash johnny|vivian cash|johnnycash|johnie cash|johnny cash|Cash, Johnny|Johnny Cash - Biography|J. Cash|J.R. Cash|J. R. Cash|Cash, John|Johnny R. Cash|Johnny Cash (band)"
Who on TV has played a scarecrow and a Time Lord?,John Pertwee,john pertwee|jon pertwee
Who had the most expensive presidential inauguration ceremony of the 20th century?,George Walker Bush,"bush junior|bushian|george w budh|g dub|baby bush|bush ii|george w bush|gorge w bush|g walker bush|jorge w bush|george w bush jr|us president george w bush|george w bush street|goerge w bush|george bush junior|georgewbush|gw bush|george walker bush|43rd pesident of united states|george w bush 43rd president of united states|george w buah|george bush 2000|international perception of george w bush|dubya bush|george bush jr|george w bush painter|george w|junior bush|bush george w|dubyuh|g w bush|w bush|george dubya bush|george bush ii|george bush 2|dubya|bushists|president bush 2000|2004 republican presidential nominee|religious faith of george w bush|president bush 43|former president george w bush|bush 43|43rd president of united states|g w b|george w bussh|bush jr|george wаlker bush|president george walker bush|bush younger|george bush 43rd u s president|george bush 43|george younger|2000 republican presidential nominee|geroge w bush|president george w bush|Bush, George W.|Bush Jr.|George W. Bush (painter)|Bush the younger|George the Younger|George W. Bussh|George W. Bush Street|George Bush (43rd U.S. President)|George Bush jr.|G.W. Bush|W. bush|G. W. Bush|US President George W. Bush|G.w.bush|George W. Bush, 43rd President of the United States|George Bush (2000)|George w.|Gorge W. Bush|G. Walker Bush|GEORGE W. BUSH|President Bush (2000)|Goerge W. Bush|George W. Budh|43rd President of the United States|George W. Buah|43rd Pesident of the United States|Jorge W. Bush|International perception of george W. Bush|Bush (43)|George Bush (43)|Bush-43|G. W. B.|Religious faith of George W. Bush|President Bush (43)|George W.Bush|George Bush, Jr.|G. Dub|Former President George W. Bush"
Arthur Thistlewood led which failed conspiracy in 1820?,CATO STREET,cato street
"In April, which sportsman married his childhood sweetheart Kim Sears?",Andy Murray (tennis player),andy murrey|sir andy murray|andy murry|andy murray|andrew murray tennis|murraymania|andy murray tennis|andrew murray tennis player|andy murray tennis player|kim sears|Andy Murray (tennis player)|Andrew Murray (tennis player)|Andy Murray (tennis)|Andrew Murray (tennis)
Stalactites grow down from the top of cave. What grows up from the floor of a cave?,Stalagmite,stalagmitic|stalagmites|stalagmite
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,ISO 3166-1:RO,danubian carpathian area|roumania|austro hungarian empire romania|romania|rromania|iso 3166 1 ro|rou|country rom|ro country|rumunia|romainia|rumänien|etymology of romania|north danubian region|romînia|rumania|romanian state|carpathian danubian space|românia|republic of romania|roumanie|ISO 3166-1:RO|RO (country)|Danubian-Carpathian Area|Austro-Hungarian Empire (Romania)
"The London production of which play by acclaimed Australian playwright, David Williamson, won him the George Devine Award, the first time for a non-UK writer?",The Removalists,removalists|The Removalists
In which country was the first permanent bungee jumping site situated?,N Z,"newzealand|new zealand|aotearoa|kiwistan|new zeland|staten land|staten landt|neo zealand|new zeeland|mew zealand|new zealand s|new zealend|iso 3166 1 nz|nova zeelandia|aotearoa new zealand|nu tirani|subdivisions of new zealand|n zealand|new zealnd|new zealnad|new xealand|administrative divisions of new zealand|maoriland|nzl|niu tireni|new z|its got that new zeal|n z|name of new zealand|enzed|nz|new zaeland|new zelanad|sheepland|etymology of new zealand|kiwiland|māoria|staaten land|nouvelle zelande|Nouvelle-Zelande|New Zealand's|New Zealand.|New Zealand,|New+Zealand|ISO 3166-1:NZ|Aotearoa / New Zealand|New-Zealand|N.Z.|New.Zealand|N. Zealand"
"Which 2010 biographical film, starring Mark Wahlberg and Christian Bale, centred on the life of professional boxer 'Micky Ward' and his older half-brother 'Dicky Eklund'?",The Fighter (2010 film),fighter 2|fighter 2010 film|fighter|fighter film|The Fighter (2010 film)|The fighter|The Fighter (film)|The Fighter 2|'THE FIGHTER'
The 'Gowk' is an old dialect word for which bird?,The cuckoo,cuckoo|kukushka|cuckoo movie|cuckoo disambiguation|The cuckoo|The Cuckoo (disambiguation)|Cuckoo (movie)
What is the name of the convenience store operated by Apu on TVs The Simpson?,Kwik e mart,quickie mart|kwikee mart|kwik e mart|freak e mart|kwikemart|quick e mart|Quick-E-Mart|The Quickie Mart|Kwik-E Mart|Kwik-e-Mart|Freak-E-Mart
Who played Brad Pitt’s wife Theresa Mills in the film ‘Seven’?,Gwynyth Paltrow,gwynyth paltrow|gweneth paltrow|gwynneth paltrow|gwneth paltrow|gwyneth paltro|gwenneth paltrow|gwennyth paltrow|apple martin|gwynnyth paltrow|goop com|gwyneth k paltrow|gwenyth paltrow|apple blythe alison martin|gwyneth paltrow|gwyneth kate paltrow|Gwyneth K. Paltrow|Goop.com
"""Who wrote the trilogy of books """"The Millennium Trilogy"""" featuring the character Lisbeth Salander?""",Stieg Larsen,stieg larson|stieg larssen|stieg larsson|steig larsson|stieg larsen
From which film did The Harry Lime Theme come,The Third Man (film),third man|der dritte mann|3rd man|harry lime|third man tv series|third man film|third man novel|The Third Man (film)|The Third Man|The Third Man (novel)|The 3rd Man|The Third Man (TV series)
' Ophidian ' refers to what kind of creatures ?,Snkae,snake diet|snake anatomy|snkae|serpentes|snake zoology|snake locomotion|snake food|coronellidae|snakiest|serpentiform|snake|🐍|serpentigenous|snakey|snakes|Snake (zoology)
"The equatorial Republic of Kiribati's 'Kiritimati' (Christmas) Island, among the first land to see each new day/year, is in which ocean?",Pacific Basin,eastern pacific ocean|oceanum pacificum|north pacific|pacific basin|mid pacific|west pacific|eastern pacific|southern pacific ocean|tepre pacificum|pacific oceans|mar del sur|peaceful sea|east pacific|sea of magellan|pacific region|pacific ocean|south western pacific|north pacific fisheries|great south sea|south pacific ocean|western pacific ocean|north pacific ocean|pacific|South-Western Pacific|Pacific (ocean)|Mid-Pacific
"Which type of lens is thicker at the centre than at the edge, as used in microscopes?",Lens Maker's Formula,double concave lens|lensmaker s formula|convex lens|lens equation|optical lens|minus lens|singlet lens|bi concave lens|lens maker s equation|bi convex lens|biconvex lens|conventional lens|negative lens|lensmakers equation|bi concave diverging lens|compound lens|lens optics|concave lens|lens makers equation|thin lens formula|lensmaker equation|lens maker s formula|thin lens equation|double convex lens|convexo concave lens|lensmaker formula|planoconcave|plano convex lens|lensmaker s equation|biconcave|real is positive convention|plano concave lens|crystal lens|equiconvex lens|lensmakers forumula|bi convex converging lens|diverging lens|double convex converging lens|meniscus optics|biconcave lens|lens formula|biconvex converging lens|converging lens|meniscus lens|convex lenses|double concave diverging lens|biconcave diverging lens|spherical lens|convex concave lens|plus lens|lens maker equation|curved lens|Lens Maker's Formula|Convexo-concave lens|Double-convex converging lens|Lens (optics)|Lensmakers' forumula|Meniscus (optics)|Bi-convex converging lens|Convex-concave lens|Bi-concave lens|Lensmaker's formula|Double-convex lens|Double-concave lens|Real-is-positive convention|Plano-concave lens|Bi-concave diverging lens|Lensmaker's equation|Lensmakers' equation|Plano-convex lens|Bi-convex lens|Singlet (lens)|Lens maker's equation|Double-concave diverging lens
The Mossad is the intelligence agency of what country?,İsrail,israel|yisroel|יִשְׂרָאֵל|israeli state|republic of israel|yisrael|etymology of israel|israelian|dawlat isrā īl|medinat yisrael|medinat yisra el|israil|isræl|dawlat isra il|מְדִינַת יִשְׂרָאֵל|medinat israel|i̇srail|מדינת ישראל|isreali|state of israel|iso 3166 1 il|izrael state|israeli nation|israelim|israeli republic|دولة إسرائيل|israel nation|yisraél|יִשְרָאֵל|isra il|israyl|m dinat yisrael|medīnat yisrā el|hebrew state|istrael|isreal|modern israel|ישראל|israël|jewish palestine|israel country|isreael|israe|yisra el|jewish republic|yisroeil|Israeli (nation)|ISO 3166-1:IL|Dawlat Isra'il|Isra'il|Medinat Yisra'el|Dawlat Isrā'īl|Yisra'el|The state of Israel|Israel (nation)|M'dinat Yisrael|Israe;|Izrael (state)|Medīnat Yisrā'el|Israel (country)
Which chemical element is named after the Greek word for the Moon?,Selenious,selenosis|selenious|seleniuretted|selenium poisoning|seleniun|selenium disambiguation|selenium|selenium compounds|element 34|selenian|selenous|seleniferous|Selenium (disambiguation)
